DetectorID,Detector Name,Link I Node,Link J Node,Status
8263,I-35 N @ 119th Street,11975,11917,
8241,I-35 N @ 127th Street,12327,12305,
7654,I-35 N @ 87TH ST,2070,10709,
8373,I-35 N @ 95TH ST,11209,11033,
7478,I-35 N @ 95TH ST,11033,10894,Currently not in use
7652,I-35 N @ 95TH ST,11209,11033,Currently not in use
8265,I-35 N @ College Ave,11808,11658,
8080,I-35 N @ HWY 69,10509,10433,
7655,I-35 N @ HWY 69,10611,10515,
7573,I-35 N @ I-435 To I-35NB FF,2086,2090,Currently not in use
8353,I-35 N @ North of 87TH ST,10709,10509,
7828,I-35 N @ NORTH OF i-435,11393,11209,Currently not in use
7830,I-35 N @ NORTH OF PFLUMM,11209,11033,
8240,I-35 N @ Praire Street,2205,12510,
7653,I-35 N @ QUIVIRA RD,10894,2070,
7445,I-35 N @ QUIVIRA RD,10894,2070,
8264,I-35 S @ 119th Street,2172,2173,
8242,I-35 S @ 127th Street,2184,12326,
7475,I-35 S @ 35SB TO 69SB FF,10533,10550,
7595,I-35 S @ 69NB TO I-35NB FF,2061,2068,
7674,I-35 S @ 87TH ST,2068,2074,
8374,I-35 S @ 95TH ST,2075,2077,
7672,I-35 S @ 95TH ST,10885,2075,Currently not in use
8266,I-35 S @ College Ave,2159,2170,
7978,I-35 S @ HWY 69,2061,10533,
7676,I-35 S @ HWY 69,2061,2068,
7675,I-35 S @ HWY 69,2061,2068,
7472,I-35 S @ I35SB TO I435WB FF,2077,2091,
8354,I-35 S @ North of 87TH ST,2061,2068,
7829,I-35 S @ NORTH OF i-435,2075,2077,Currently not in use
7671,I-35 S @ PFLUMM RD,2075,2077,
7671,I-35 S @ PFLUMM RD,2075,2077,
8239,I-35 S @ Praire Street,2197,2211,
7673,I-35 S @ QUIVIRA RD,2074,10885,
7588,I-435 E @ 69SB TO I-435EB FF,2557,2619,
7700,I-435 E @ ANTIOCH,14132,2169,
7640,I-435 E @ ANTIOCH,2169,2209,
7529,I-435 E @ AT 104TH ST,14779,11581,
8052,I-435 E @ Before Quivira road,2447,2450,
7804,I-435 E @ EAST OF 104TH ST,14779,11581,
7528,I-435 E @ EAST OF HOLMES RD,14782,14779,
7526,I-435 E @ EAST OF WORNALL,14789,14785,
7772,I-435 E @ GRANDVIEW RD,11581,14721,
7797,I-435 E @ HWY 69,2561,2655,
7638,I-435 E @ HWY 69,2561,2655,
7458,I-435 E @ I-35NB TO I-435EB FF,2083,2084,
7691,I-435 E @ I-435 NB AT CURVE N,14699,14700,
7393,I-435 E @ I-435EB TO 69 CD,2564,2566,Currently not in use
