OBJECTID,INODE,JNODE,LENGTH,LANES
1,12358,12351,0.08000000000,1
2,11093,11092,0.53000000000,2
3,11093,11095,0.20000000000,2
4,11713,14794,0.37000000000,5
5,14736,14735,0.12000000000,2
6,12339,12346,0.38000000000,1
7,12365,14051,0.54000000000,3
8,14772,14783,0.08000000000,1
9,12647,12666,0.10000000000,2
10,11272,11293,0.11000000000,1
11,14718,14763,0.13000000000,3
12,11256,11252,0.06000000000,1
13,11314,11269,0.09000000000,1
14,11506,11503,0.27000000000,2
15,11506,11505,0.48000000000,2
16,12081,11966,0.33000000000,3
17,11248,11214,0.11000000000,1
18,12447,12557,0.47000000000,1
19,11771,11790,0.11000000000,1
20,11104,11101,0.50000000000,2
21,12685,12688,0.07000000000,1
22,11832,11963,0.49000000000,3
23,14789,14785,0.12000000000,4
24,2169,2209,0.19000000000,5
25,14755,14754,0.10000000000,5
26,11731,11730,0.08000000000,1
27,11731,11732,0.05000000000,2
28,11294,11289,0.19000000000,1
29,12693,12843,0.50000000000,2
30,11086,11089,0.41000000000,2
31,11664,14766,0.21000000000,4
32,11105,11103,0.24000000000,2
33,11105,11108,0.19000000000,2
34,12348,12389,0.15000000000,2
35,12524,12521,0.50000000000,2
36,12524,12528,0.08000000000,2
37,12687,12679,0.12000000000,1
38,11877,15258,0.11000000000,2
39,15211,15214,0.23000000000,5
40,11319,11320,0.25000000000,1
41,11319,11321,0.21000000000,1
42,10990,11046,0.22000000000,3
43,2520,2533,0.12000000000,3
44,14713,10868,0.75000000000,4
45,11717,11753,0.20000000000,2
46,11260,11216,0.13000000000,1
47,11974,12038,0.24000000000,1
48,12428,12442,0.07000000000,1
49,11171,11173,0.10000000000,2
50,12210,14463,0.23000000000,1
51,11927,11934,0.07000000000,1
52,12623,12547,0.21000000000,3
53,11368,11435,0.16000000000,1
54,11416,11448,0.06000000000,1
55,2331,2469,0.18000000000,5
56,11869,11810,0.16000000000,3
57,14061,12458,0.15000000000,1
58,12914,12821,0.76000000000,2
59,11299,11302,0.06000000000,1
60,11299,11300,0.09000000000,1
61,4979,4964,0.20000000000,2
62,11286,11381,0.24000000000,2
63,11945,11940,0.06000000000,2
64,14761,11662,0.13000000000,4
66,12466,12442,0.12000000000,1
67,11521,11520,0.03000000000,1
68,5870,5981,0.20000000000,3
69,14704,11592,0.17000000000,1
70,12145,12173,0.09000000000,3
71,14764,14745,0.08000000000,1
72,11889,11946,0.23000000000,1
73,12532,12549,0.12000000000,1
74,11602,11589,0.06000000000,1
75,11884,11920,0.15000000000,1
76,11966,11933,0.14000000000,3
77,11402,11313,0.40000000000,1
78,11269,11272,0.08000000000,1
79,11927,11920,0.03000000000,1
80,11883,11881,0.06000000000,1
81,11163,11155,0.02000000000,2
82,11883,11889,0.02000000000,1
83,11358,11294,0.18000000000,1
84,12886,12860,0.25000000000,2
85,2615,2674,0.18000000000,2
86,11355,11489,0.33000000000,3
87,12722,12718,0.35000000000,1
88,12730,12734,0.42000000000,1
89,11261,11260,0.06000000000,1
90,14468,11533,0.30000000000,1
91,11298,11297,0.18000000000,1
92,11729,11737,0.06000000000,2
93,2598,11748,0.18000000000,2
94,11098,11104,0.25000000000,2
95,11852,11826,0.13000000000,1
96,11477,11544,0.13000000000,1
97,11304,11292,0.07000000000,1
98,11735,11706,0.37000000000,4
99,11739,11748,0.10000000000,2
100,12350,12348,0.38000000000,2
101,12244,12233,0.08000000000,1
102,11157,11175,0.39000000000,2
103,12338,12240,0.26000000000,3
104,11855,14290,0.21000000000,1
105,2672,2599,0.18000000000,2
106,12446,12473,0.08000000000,2
107,15222,15232,0.39000000000,4
108,11520,11521,0.03000000000,1
109,11196,11177,0.06000000000,1
110,12484,12485,0.10000000000,1
111,11881,11883,0.06000000000,1
112,11103,11105,0.24000000000,2
113,11103,11102,0.23000000000,2
114,12182,12108,0.29000000000,2
115,11946,11974,0.16000000000,1
116,11086,11080,0.19000000000,2
117,12025,12174,0.51000000000,1
118,12389,12348,0.15000000000,2
119,11554,11335,0.52000000000,2
120,12607,12604,0.20000000000,3
121,11279,11256,0.08000000000,1
122,12480,12470,0.08000000000,1
123,12481,12519,0.15000000000,2
124,12163,12210,0.21000000000,1
125,12521,12478,0.17000000000,1
126,11931,11929,0.06000000000,2
127,14693,14694,0.13000000000,4
128,11270,11263,0.08000000000,1
129,12617,12539,0.26000000000,3
130,11267,11254,0.03000000000,1
131,12357,12254,0.35000000000,2
132,11920,11927,0.03000000000,1
133,11494,11678,0.50000000000,2
134,11726,11736,0.09000000000,2
135,11726,11732,0.11000000000,2
136,11821,11783,0.12000000000,2
137,12150,12206,0.27000000000,1
138,11292,11304,0.07000000000,1
139,12758,12725,0.13000000000,2
140,10934,11060,0.43000000000,1
141,11782,11903,0.36000000000,1
142,12203,12170,0.15000000000,1
143,15219,12035,0.18000000000,2
144,12604,12624,0.50000000000,4
145,11507,11522,0.50000000000,2
146,12486,12480,0.05000000000,1
147,12486,12489,0.07000000000,1
148,2047,11122,0.13000000000,1
149,11952,11967,0.08000000000,1
150,11822,11816,0.50000000000,3
151,11462,11488,0.43000000000,3
152,14456,11892,0.37000000000,1
153,12401,12403,0.12000000000,1
154,11544,11599,0.11000000000,1
155,12596,12619,0.12000000000,3
156,12478,12396,0.28000000000,1
157,12049,12002,0.20000000000,3
158,12174,12334,0.75000000000,1
159,12306,12296,0.12000000000,3
160,12460,12493,0.87000000000,1
161,14697,14698,0.10000000000,3
162,11987,12043,0.15000000000,2
163,11626,11620,0.08000000000,4
164,11140,11078,0.07000000000,1
165,12448,12457,0.06000000000,1
166,11489,11623,0.42000000000,3
167,12176,12201,0.12000000000,2
168,12582,12553,0.39000000000,1
169,12344,12338,0.31000000000,2
170,11890,11847,0.18000000000,1
171,14742,14747,0.17000000000,1
172,12055,12123,0.30000000000,2
173,11096,11214,0.33000000000,1
174,12014,11980,0.11000000000,1
175,11295,11294,0.14000000000,1
176,11295,11296,0.18000000000,1
177,12113,12166,0.22000000000,2
178,12703,12701,0.07000000000,1
179,12114,12104,0.32000000000,3
180,11697,11750,0.13000000000,2
181,12032,12067,0.52000000000,1
182,12339,12506,0.57000000000,3
183,11560,14716,0.10000000000,3
184,15235,15234,0.05000000000,1
185,12235,12251,0.10000000000,1
186,12033,15212,0.22000000000,2
187,12434,12446,0.10000000000,2
188,14788,11561,0.15000000000,1
189,11797,11772,0.09000000000,2
190,14716,14718,0.11000000000,3
191,11589,11582,0.10000000000,1
192,5744,5694,0.11000000000,1
193,11082,11183,0.24000000000,1
194,11111,11131,0.13000000000,2
195,11216,11260,0.13000000000,1
196,11731,11683,0.11000000000,3
197,11781,11734,0.14000000000,3
198,12916,12912,0.35000000000,2
199,12768,15240,0.03000000000,1
200,12284,12354,0.24000000000,2
201,11826,11785,0.33000000000,1
202,11984,12099,0.70000000000,3
203,12240,12229,0.08000000000,3
204,12209,12242,0.21000000000,2
205,12659,12623,0.36000000000,3
206,11272,11269,0.08000000000,1
207,12060,12038,0.16000000000,1
208,11494,11320,0.47000000000,2
209,12619,12596,0.12000000000,3
210,12504,12523,0.13000000000,1
211,11101,11104,0.50000000000,2
212,11101,11100,0.06000000000,2
213,11507,11396,0.22000000000,1
214,11008,11116,0.28000000000,2
215,11647,11613,0.18000000000,2
216,12227,12191,0.09000000000,3
217,11974,11946,0.16000000000,1
218,14047,12365,0.29000000000,3
219,14715,14711,0.10000000000,3
220,11320,11494,0.47000000000,2
221,12483,12454,0.08000000000,1
222,11091,11090,0.18000000000,2
223,11091,11092,0.10000000000,2
224,14727,14761,0.14000000000,2
225,12201,12254,0.28000000000,2
226,12219,12200,0.11000000000,1
227,12628,12635,0.14000000000,1
228,15226,12197,0.05000000000,3
229,5016,5101,0.16000000000,3
230,12426,12413,0.08000000000,1
231,14775,11520,0.07000000000,1
232,11290,11242,0.11000000000,3
233,15244,12916,0.10000000000,2
234,11582,11541,0.09000000000,1
235,5723,5738,0.15000000000,3
236,11930,11960,0.12000000000,2
237,12462,12477,0.06000000000,1
238,14791,14795,0.08000000000,1
239,11883,11859,0.10000000000,1
240,14783,11575,0.06000000000,1
241,12281,12349,0.24000000000,3
242,11111,11511,1.01000000000,2
243,12273,12253,0.08000000000,1
244,14695,14762,0.23000000000,5
245,12632,12647,0.25000000000,2
246,11263,11270,0.08000000000,1
247,12107,12109,0.57000000000,3
248,12107,12105,0.18000000000,2
249,11811,11810,0.39000000000,2
250,11811,11812,0.13000000000,2
251,12123,12176,0.25000000000,2
252,11505,11299,0.50000000000,2
253,14730,14724,0.11000000000,1
254,12346,12352,0.19000000000,1
255,5805,5811,0.26000000000,3
256,12417,12479,0.17000000000,4
257,2676,2672,0.32000000000,1
258,11892,14456,0.37000000000,1
259,11399,11416,0.04000000000,1
260,12613,12355,1.00000000000,1
261,11592,14722,0.16000000000,3
262,12629,12631,0.31000000000,1
263,11694,11497,0.60000000000,2
264,12099,12094,0.51000000000,3
265,14698,14699,0.08000000000,3
266,14781,14782,0.06000000000,1
267,12115,12217,0.46000000000,2
268,12647,12632,0.25000000000,2
269,11097,11096,0.11000000000,2
270,11097,11098,0.14000000000,2
271,15226,15228,0.06000000000,1
272,14109,14110,0.11000000000,1
273,12121,12119,0.13000000000,2
274,11790,11771,0.11000000000,1
275,14463,12503,0.92000000000,1
276,11173,11171,0.10000000000,2
277,11870,14290,0.28000000000,1
278,12475,12481,0.08000000000,1
279,11590,11660,0.28000000000,1
280,11647,11697,0.14000000000,2
281,11522,11523,0.09000000000,2
282,12110,12115,0.49000000000,3
283,12497,12609,0.49000000000,2
284,11493,4979,0.29000000000,2
285,11379,11509,0.13000000000,3
286,11493,11489,0.60000000000,2
287,11143,11205,0.13000000000,2
288,12299,12304,0.07000000000,1
289,12221,12098,0.55000000000,3
290,12635,12611,0.14000000000,2
291,14759,14752,0.07000000000,1
292,11969,11960,0.24000000000,2
293,12552,12596,0.07000000000,3
294,11740,11755,0.05000000000,2
295,12882,15241,0.38000000000,3
296,5803,5805,0.19000000000,3
297,12224,12237,0.08000000000,1
298,11838,11835,0.10000000000,2
299,11640,11690,0.36000000000,5
300,10952,11122,0.50000000000,1
301,11176,11181,0.20000000000,2
302,12066,12121,0.04000000000,2
303,12067,12108,0.32000000000,1
304,11326,11362,0.14000000000,1
305,14796,14793,0.24000000000,4
306,11810,11811,0.39000000000,2
307,12557,12563,0.04000000000,1
308,11810,11817,0.43000000000,2
309,12696,12698,0.02000000000,1
310,12696,12691,0.91000000000,1
311,12596,12552,0.07000000000,3
312,12458,12306,0.77000000000,3
313,12132,12121,0.05000000000,2
314,12393,12385,0.04000000000,1
315,11582,11589,0.10000000000,1
316,11699,11543,0.43000000000,1
317,11599,11603,0.13000000000,1
318,11936,11942,0.06000000000,2
319,12003,11981,0.09000000000,2
320,11160,11106,0.15000000000,1
321,12218,12149,0.33000000000,2
322,12635,12657,0.13000000000,2
323,11181,11226,0.20000000000,2
324,12102,12098,0.12000000000,3
325,14463,12210,0.23000000000,1
326,11910,12025,0.50000000000,1
327,12253,12273,0.08000000000,1
328,11488,11512,0.09000000000,3
329,11297,11298,0.18000000000,1
