linkid	inode	jnode	flag	obflag	detectorid
1	12358	12351	0	-1	0
2	11093	11092	0	-1	0
3	11093	11095	0	-1	0
4	11713	14794	1	2	7639
5	14736	14735	0	-1	0
6	12339	12346	0	-1	0
7	12365	14051	1	3	8067
8	14772	14783	0	-1	0
9	12647	12666	0	-1	0
10	11272	11293	0	-1	0
11	14718	14763	1	4	7971
12	11256	11252	0	-1	0
13	11314	11269	0	-1	0
14	11506	11503	0	-1	0
15	11506	11505	0	-1	0
16	12081	11966	0	-1	0
17	11248	11214	0	-1	0
18	12447	12557	0	-1	0
19	11771	11790	0	-1	0
20	11104	11101	0	-1	0
21	12685	12688	0	-1	0
22	11832	11963	0	-1	0
23	14789	14785	1	5	7526
24	2169	2209	1	6	7640
25	14755	14754	0	-1	0
26	11731	11730	0	-1	0
27	11731	11732	0	-1	0
28	11294	11289	0	-1	0
29	12693	12843	0	-1	0
30	11086	11089	0	-1	0
31	11664	14766	0	-1	0
32	11105	11103	0	-1	0
33	11105	11108	0	-1	0
34	12348	12389	0	-1	0
35	12524	12521	0	-1	0
36	12524	12528	0	-1	0
37	12687	12679	0	-1	0
38	11877	15258	0	-1	0
39	15211	15214	1	7	8116
40	11319	11320	0	-1	0
41	11319	11321	0	-1	0
42	10990	11046	0	-1	0
43	2520	2533	1	8	8072
44	14713	10868	0	-1	0
45	11717	11753	0	-1	0
46	11260	11216	0	-1	0
47	11974	12038	0	-1	0
48	12428	12442	0	-1	0
49	11171	11173	0	-1	0
50	12210	14463	0	-1	0
51	11927	11934	0	-1	0
52	12623	12547	0	-1	0
53	11368	11435	0	-1	0
54	11416	11448	0	-1	0
55	2331	2469	0	-1	0
56	11869	11810	0	-1	0
57	14061	12458	1	9	8338
58	12914	12821	0	-1	0
59	11299	11302	0	-1	0
60	11299	11300	0	-1	0
61	4979	4964	0	-1	0
62	11286	11381	0	-1	0
63	11945	11940	0	-1	0
64	14761	11662	1	10	7973
66	12466	12442	0	-1	0
67	11521	11520	0	-1	0
68	5870	5981	1	11	8071
69	14704	11592	0	-1	0
70	12145	12173	0	-1	0
71	14764	14745	0	-1	0
72	11889	11946	0	-1	0
73	12532	12549	0	-1	0
74	11602	11589	0	-1	0
75	11884	11920	0	-1	0
76	11966	11933	0	-1	0
77	11402	11313	0	-1	0
78	11269	11272	0	-1	0
79	11927	11920	0	-1	0
80	11883	11881	0	-1	0
81	11163	11155	0	-1	0
82	11883	11889	0	-1	0
83	11358	11294	0	-1	0
84	12886	12860	0	-1	0
85	2615	2674	0	-1	0
86	11355	11489	0	-1	0
87	12722	12718	0	-1	0
88	12730	12734	0	-1	0
89	11261	11260	0	-1	0
90	14468	11533	0	-1	0
91	11298	11297	0	-1	0
92	11729	11737	0	-1	0
93	2598	11748	0	-1	0
94	11098	11104	0	-1	0
95	11852	11826	0	-1	0
96	11477	11544	0	-1	0
97	11304	11292	0	-1	0
98	11735	11706	1	12	7587
99	11739	11748	0	-1	0
100	12350	12348	0	-1	0
101	12244	12233	0	-1	0
102	11157	11175	0	-1	0
103	12338	12240	0	-1	0
104	11855	14290	0	-1	0
105	2672	2599	0	-1	0
106	12446	12473	0	-1	0
107	15222	15232	1	13	8115
108	11520	11521	0	-1	0
109	11196	11177	0	-1	0
110	12484	12485	0	-1	0
111	11881	11883	0	-1	0
112	11103	11105	0	-1	0
113	11103	11102	0	-1	0
114	12182	12108	0	-1	0
115	11946	11974	0	-1	0
116	11086	11080	0	-1	0
117	12025	12174	0	-1	0
118	12389	12348	0	-1	0
119	11554	11335	0	-1	0
120	12607	12604	0	-1	0
121	11279	11256	0	-1	0
122	12480	12470	0	-1	0
123	12481	12519	0	-1	0
124	12163	12210	0	-1	0
125	12521	12478	0	-1	0
126	11931	11929	0	-1	0
127	14693	14694	0	-1	0
128	11270	11263	0	-1	0
129	12617	12539	0	-1	0
130	11267	11254	0	-1	0
131	12357	12254	0	-1	0
132	11920	11927	0	-1	0
133	11494	11678	0	-1	0
134	11726	11736	0	-1	0
135	11726	11732	0	-1	0
136	11821	11783	0	-1	0
137	12150	12206	0	-1	0
138	11292	11304	0	-1	0
139	12758	12725	0	-1	0
140	10934	11060	0	-1	0
141	11782	11903	0	-1	0
142	12203	12170	0	-1	0
143	15219	12035	0	-1	0
144	12604	12624	0	-1	0
145	11507	11522	0	-1	0
146	12486	12480	0	-1	0
147	12486	12489	0	-1	0
148	2047	11122	0	-1	0
149	11952	11967	0	-1	0
150	11822	11816	0	-1	0
151	11462	11488	0	-1	0
152	14456	11892	0	-1	0
153	12401	12403	0	-1	0
154	11544	11599	0	-1	0
155	12596	12619	0	-1	0
